RegionName,cum_5yr_log_growth,log_initial_price,percent_change
64780,0.388430265,11.85548941,0.474664145
64788,0.403179171,12.06343887,0.49657501
66002,0.41662711,11.57863517,0.516836794
66007,0.309580286,12.65702862,0.362852986
66010,0.524707182,11.83065573,0.689963925
66012,0.339491674,12.38275186,0.4042336
66013,0.268892769,13.16768983,0.30851482
66018,0.321430203,12.59506372,0.379098746
66020,0.449964083,12.45579012,0.568255858
66021,0.336213135,12.26297473,0.399637305
66025,0.346524267,12.32613233,0.41414381
66026,0.465946118,12.23374124,0.593521135
66030,0.286915897,12.45755727,0.332312157
66033,0.418124776,11.83364803,0.519110211
66040,0.150454514,11.75265588,0.162362433
66042,0.47721442,12.04418724,0.611578961
66043,0.311934424,12.33663145,0.366065109
66044,0.371524208,12.10577291,0.449942946
66048,0.374382266,12.05654172,0.454092895
66052,0.42364605,12.56044171,0.527520833
66053,0.333647115,12.54141267,0.396050412
66054,0.41730154,12.29734637,0.51786014
66056,0.118249738,11.59273569,0.125525163
66061,0.298759468,12.64902846,0.348185303
66062,0.312635559,12.64605266,0.367023241
66064,0.406144641,11.75640305,0.501019645
66071,0.37216349,12.40744616,0.450870165
66072,0.509475438,12.16961605,0.664417875
66075,0.505463343,11.46068555,0.65775345
66083,0.303548613,12.6288903,0.354657443
66085,0.299158576,13.08095532,0.348723481
66086,0.363289963,12.43254743,0.43805278
66092,0.39815936,12.31818263,0.489081311
66097,0.43869855,11.97370801,0.550687763
66101,0.472769119,11.20431715,0.604430907
66102,0.449299053,11.42939017,0.567213268
66103,0.353187285,11.82519248,0.423597737
66104,0.461650765,11.52462966,0.586691078
66105,0.444084018,11.20756286,0.559061469
66106,0.334619185,11.85547356,0.39740813
66109,0.305631344,12.37578337,0.357481771
66111,0.331545144,12.07571674,0.393119035
66112,0.364185162,11.97424265,0.4393407
66202,0.324562471,12.31489974,0.383425224
66203,0.335356106,12.30978143,0.398438289
66204,0.339843923,12.25854423,0.404728328
66205,0.304929544,12.5245521,0.356529425
66206,0.376577405,13.10523786,0.457288336
66207,0.32240062,12.77729439,0.380437696
66208,0.321584739,12.72841599,0.379311883
66209,0.3398872,13.05473599,0.404789121
66210,0.327652464,12.66347223,0.387706611
66211,0.337038748,13.20441359,0.40079334
66212,0.343407209,12.4045549,0.409742705
66213,0.320663081,12.87452382,0.378041214
66214,0.327054422,12.50538006,0.386876952
66215,0.328333728,12.5251513,0.388652327
66216,0.30909482,12.58757116,0.362191528
66217,0.327261673,12.91962036,0.387164412
66218,0.293539036,12.76349219,0.341165532
66219,0.318482291,12.68945999,0.37503927
66220,0.31303682,13.08967393,0.367571885
66221,0.308586282,13.26244401,0.361498977
66223,0.301452967,12.80087553,0.351821534
66224,0.338883204,13.22689499,0.403379426
66226,0.30003926,12.77863321,0.349911804
66227,0.36761198,12.85282416,0.44428152
66767,0.44338316,11.55267578,0.557969171
