InputID,TargetID,Distance
64036,Lee's Summit,49998.74763
64022,Airport (MCI),90372.6244
64022,The Plaza,80954.63298
64022,Power and Light,78868.35653
64022,The Legands,100010.59
64022,Lee's Summit,68879.55545
64074,Airport (MCI),60490.18299
64074,The Plaza,44797.37059
64074,Power and Light,43692.05852
64074,The Legands,65442.76962
64074,Lee's Summit,32378.01183
64742,Airport (MCI),90074.21194
64742,The Plaza,60324.82731
64742,Power and Light,66540.07009
64742,The Legands,73594.20323
64742,Lee's Summit,48102.00654
64017,Airport (MCI),60456.6524
64017,The Plaza,51643.75426
64017,Power and Light,48959.70147
64017,The Legands,69788.79416
64017,Lee's Summit,43982.32077
64034,Airport (MCI),61518.68036
64034,The Plaza,32926.74146
64034,Power and Light,36673.66698
64034,The Legands,54967.05484
64034,Lee's Summit,10105.69799
64088,Airport (MCI),48508.76417
64088,The Plaza,37619.55108
64088,Power and Light,34969.59843
64088,The Legands,56038.81605
64088,Lee's Summit,32353.45253
64649,Airport (MCI),75267.66768
64649,The Plaza,91960.08009
64649,Power and Light,85995.88835
64649,The Legands,96252.58252
64649,Lee's Summit,98642.22379
64061,Airport (MCI),79397.62181
64061,The Plaza,52488.9266
64061,Power and Light,55489.43046
64061,The Legands,74850.8625
64061,Lee's Summit,29736.57241
64465,Airport (MCI),45646.2299
64465,The Plaza,61744.82652
64465,Power and Light,55668.64736
64465,The Legands,66017.58564
64465,Lee's Summit,70727.73131
64490,Airport (MCI),51828.2398
64490,The Plaza,77590.3088
64490,Power and Light,71251.57164
64490,The Legands,73621.775
64490,Lee's Summit,92024.93193
64474,Airport (MCI),58520.60843
64474,The Plaza,81526.98894
64474,Power and Light,75197.91096
64474,The Legands,80393.58612
64474,Lee's Summit,93594.9841
64024,Airport (MCI),42399.93121
64024,The Plaza,44486.56017
64024,Power and Light,39570.1483
64024,The Legands,56752.47978
64024,Lee's Summit,47498.83753
64745,Airport (MCI),128297.0828
64745,The Plaza,98622.71979
64745,Power and Light,104822.2401
64745,The Legands,111082.826
64745,Lee's Summit,84855.58805
64167,Airport (MCI),20447.33711
64167,The Plaza,32190.7651
64167,Power and Light,25932.84845
64167,The Legands,37165.74871
64167,Lee's Summit,45663.76858
64086,Airport (MCI),56643.0943
64086,The Plaza,29678.90471
64086,Power and Light,32475.84344
64086,The Legands,52218.58063
64086,Lee's Summit,7914.146345
64120,Airport (MCI),25643.84279
64120,The Plaza,11918.80668
64120,Power and Light,6767.680728
64120,The Legands,27362.82028
64120,Lee's Summit,26540.8645
64030,Airport (MCI),49589.39817
64030,The Plaza,18984.59561
64030,Power and Light,24822.34171
64030,The Legands,38009.01096
64030,Lee's Summit,12683.39571
64110,Airport (MCI),32047.51489
64110,The Plaza,1875.3087
64110,Power and Light,7195.706978
64110,The Legands,24468.92784
64110,Lee's Summit,21031.53007
64113,Airport (MCI),33460.35976
64113,The Plaza,3148.836542
64113,Power and Light,9496.268394
64113,The Legands,23750.91208
64113,Lee's Summit,21364.89447
64650,Airport (MCI),68214.32372
64650,The Plaza,80643.01399
64650,Power and Light,75012.7322
64650,The Legands,87874.97391
64650,Lee's Summit,85034.119
64018,Airport (MCI),16749.86079
64018,The Plaza,46931.70606
64018,Power and Light,41183.31952
64018,The Legands,37241.54482
64018,Lee's Summit,66651.19041
64164,Airport (MCI),8161.343482
64164,The Plaza,32103.58614
64164,Power and Light,26003.42098
64164,The Legands,28668.16443
64164,Lee's Summit,50754.57807
64725,Airport (MCI),94458.19078
64725,The Plaza,63867.40067
64725,Power and Light,69614.51691
64725,The Legands,80664.55309
64725,Lee's Summit,46692.41205
64096,Airport (MCI),100855.1884
64096,The Plaza,91292.12282
64096,Power and Light,89331.43452
64096,The Legands,110535.3075
64096,Lee's Summit,78404.05516
64011,Airport (MCI),67790.59546
64011,The Plaza,46388.57823
64011,Power and Light,47134.72351
64011,The Legands,68631.25538
64011,Lee's Summit,27937.77799
64021,Airport (MCI),96671.97933
64021,The Plaza,84128.03109
64021,Power and Light,82800.68526
64021,The Legands,104397.4662
64021,Lee's Summit,69458.97537
64001,Airport (MCI),104278.5942
64001,The Plaza,91549.40928
64001,Power and Light,90327.68184
64001,The Legands,111957.1562
64001,Lee's Summit,76330.33406
64118,Airport (MCI),15660.87059
64118,The Plaza,19003.41215
64118,Power and Light,12677.11249
64118,The Legands,24256.37138
64118,Lee's Summit,36960.45804
64131,Airport (MCI),40028.63307
64131,The Plaza,9565.284789
64131,Power and Light,15738.52228
64131,The Legands,28909.43303
64131,Lee's Summit,17155.00518
64037,Airport (MCI),89391.87944
64037,The Plaza,74273.64738
64037,Power and Light,73503.25721
64037,The Legands,95276.31795
64037,Lee's Summit,58318.9444
64722,Airport (MCI),114831.4757
64722,The Plaza,85376.98205
64722,Power and Light,91623.01994
64722,The Legands,97425.34974
64722,Lee's Summit,72677.21336
64752,Airport (MCI),137302.0265
64752,The Plaza,108088.5856
64752,Power and Light,114356.336
64752,The Legands,119324.096
64752,Lee's Summit,95323.8081
64014,Airport (MCI),51403.74092
64014,The Plaza,29371.00986
64014,Power and Light,29915.95166
64014,The Legands,51440.59317
64014,Lee's Summit,15252.74393
64052,Airport (MCI),34113.41363
64052,The Plaza,12681.2118
64052,Power and Light,11611.27732
64052,The Legands,33364.70907
64052,Lee's Summit,18513.46111
64147,Airport (MCI),51699.31688
64147,The Plaza,21282.97836
64147,Power and Light,27366.30557
64147,The Legands,38788.29741
64147,Lee's Summit,15682.87722
64154,Airport (MCI),8028.900842
64154,The Plaza,26206.43431
64154,Power and Light,20161.56681
64154,The Legands,24300.0723
64154,Lee's Summit,45396.10761
64743,Airport (MCI),82633.05489
64743,The Plaza,52883.75177
64743,Power and Light,57453.57385
64743,The Legands,73549.10048
64743,Lee's Summit,31190.68594
64454,Airport (MCI),35763.28968
64454,The Plaza,62766.96902
64454,Power and Light,56496.45219
64454,The Legands,57474.58982
64454,Lee's Summit,78991.98404
64145,Airport (MCI),47760.87518
64145,The Plaza,17982.88457
64145,Power and Light,24296.52242
64145,The Legands,33811.20232
64145,Lee's Summit,18831.19923
64149,Airport (MCI),52940.33148
64149,The Plaza,22455.4775
64149,Power and Light,27773.69555
64149,The Legands,42672.82955
64149,Lee's Summit,9064.075597
64102,Airport (MCI),24897.57125
64102,The Plaza,5852.023116
64102,Power and Light,1982.001403
64102,The Legands,19985.23818
64102,Lee's Summit,27489.99755
64780,Airport (MCI),149414.0004
64780,The Plaza,118834.9783
